form_id,writer_id,num_lines
a01-000u,000,7
a01-000x,001,6
a01-003,002,11
a01-003u,000,11
a01-003x,003,9
a01-007,004,9
a01-007u,000,10
a01-007x,003,8
a01-011,005,7
a01-011u,000,10
a01-011x,006,9
a01-014,007,10
a01-014u,000,9
a01-014x,008,10
a01-020,009,9
a01-020u,000,10
a01-020x,010,9
a01-026,009,10
a01-026u,000,11
a01-026x,008,10
a01-030,005,8
a01-030u,000,11
a01-030x,010,9
a01-038,007,13
a01-038x,011,9
a01-043,012,11
a01-043u,000,10
a01-043x,011,8
a01-049,012,11
a01-049u,000,11
a01-049x,000,11
a01-053,013,11
a01-053u,000,10
a01-053x,014,10
a01-058,013,10
a01-058u,000,9
a01-058x,014,10
a01-063,013,11
a01-063u,000,10
a01-063x,015,10
a01-068u,000,10
a01-072u,000,9
a01-072x,001,8
a01-077,016,10
a01-077u,000,9
a01-082u,000,10
a01-087,017,9
a01-087u,000,9
a01-091,016,11
a01-091u,000,10
a01-096u,000,11
a01-102,016,11
a01-102u,000,9
a01-107,018,5
a01-107u,000,8
a01-113,018,9
a01-113u,000,11
a01-117,019,10
a01-117u,000,11
a01-122,019,8
a01-122u,000,11
a01-128,019,9
a01-128u,000,11
a01-132,020,12
a01-132u,000,10
a01-132x,000,9
a02-000,021,8
a02-004,022,11
a02-008,023,9
a02-012,024,10
a02-017,025,8
a02-020,025,7
a02-024,025,8
a02-027,025,10
a02-032,025,7
a02-037,026,10
a02-042,026,8
a02-046,027,8
a02-050,028,8
a02-053,029,8
a02-057,030,9
a02-062,031,8
a02-067,032,10
a02-072,033,8
a02-078,034,10
a02-082,035,8
a02-086,036,8
a02-090,026,7
a02-093,026,9
a02-098,026,9
a02-102,037,9
a02-106,037,10
a02-111,037,12
a02-116,038,9
a02-120,039,11
a02-124,037,6
a03-006,040,9
a03-009,041,8
a03-011,042,9
a03-014,043,10
a03-017,044,9
a03-020,045,11
a03-023,046,11
a03-027,047,10
a03-030,048,10
a03-034,049,8
a03-037,050,8
a03-040,051,7
a03-043,052,9
a03-047,037,11
a03-050,000,9
a03-054,053,11
a03-059,054,12
a03-063,055,11
a03-066,056,8
a03-071,000,9
a03-073,000,12
a03-080,000,10
a03-089,000,4
a04-000,058,7
a04-003,058,8
a04-006,058,11
a04-010,058,9
a04-015,059,8
a04-019,059,8
a04-023,059,7
a04-027,059,6
a04-031,060,10
a04-035,060,10
a04-039,060,10
a04-043,060,9
a04-047,061,9
a04-050,061,7
a04-054,061,7
a04-059,061,8
a04-066,062,9
a04-069,062,9
a04-072,062,11
a04-081,063,10
a04-085,063,10
a04-089,063,10
a04-092,064,11
a04-096,064,10
a04-099,064,11
a04-103,064,9
a05-000,000,8
a05-004,065,10
a05-009,065,8
a05-013,000,9
a05-017,000,11
a05-022,000,9
a05-025,000,11
a05-029,000,10
a05-039,000,11
a05-044,000,11
a05-048,000,11
a05-053,000,11
a05-058,000,9
a05-062,000,9
a05-069,000,11
a05-073,000,11
a05-080,000,10
a05-084,000,10
a05-089,000,11
a05-094,000,11
a05-099,000,10
a05-104,000,10
a05-108,000,8
a05-113,000,10
a05-116,000,10
a05-121,000,10
a05-125,000,8
a06-000,066,8
a06-004,066,10
a06-008,067,8
a06-014,068,11
a06-020,069,6
a06-025,070,9
a06-036,071,8
a06-039,072,11
a06-044,073,7
a06-051,074,9
a06-057,075,6
a06-064,076,10
a06-070,077,9
a06-075,078,9
a06-090,079,9
a06-095,080,11
a06-100,081,7
a06-110,082,9
a06-114,083,10
a06-119,084,10
a06-124,085,6
a06-128,084,11
a06-134,085,8
a06-141,085,7
a06-147,085,7
a06-152,086,11
a06-157,085,4
b01-000,087,7
b01-004,087,8
b01-009,087,8
b01-014,088,9
b01-018,088,9
b01-023,088,7
b01-027,089,9
b01-033,089,6
b01-038,089,11
b01-044,090,7
b01-049,090,8
b01-053,090,8
b01-057,017,11
b01-062,017,10
b01-073,091,11
b01-079,091,11
b01-084,092,8
b01-089,092,10
b01-094,092,10
b01-113,093,8
b01-118,093,9
b01-122,093,9
b01-127,094,10
b01-132,094,9
b01-136,094,8
b02-013,095,10
b02-035,095,11
b02-045,096,9
b02-097,097,9
b02-102,098,7
b02-105,099,6
b03-025,100,7
b03-087,102,6
b03-092,102,7
b03-098,103,10
b03-104,104,10
b03-109,105,9
b03-114,106,9
b04-000,107,7
b04-004,107,11
b04-010,107,10
b04-020,107,9
b04-026,108,7
b04-034,108,6
b04-040,108,6
b04-047,108,6
